Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
5/1/2023,AQS,80050006,1,0.055,ppm,51,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/2/2023,AQS,80050006,1,0.058,ppm,61,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/3/2023,AQS,80050006,1,0.063,ppm,77,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/4/2023,AQS,80050006,1,0.058,ppm,61,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/5/2023,AQS,80050006,1,0.064,ppm,80,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/6/2023,AQS,80050006,1,0.06,ppm,67,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/7/2023,AQS,80050006,1,0.059,ppm,64,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/8/2023,AQS,80050006,1,0.055,ppm,51,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/9/2023,AQS,80050006,1,0.06,ppm,67,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/10/2023,AirNow,80050006,1,0.051,ppm,47,Aurora East,18,75,44201,Ozone,,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/16/2023,AQS,80050006,1,0.062,ppm,74,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/17/2023,AQS,80050006,1,0.068,ppm,93,Aurora East,15,88,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/18/2023,AQS,80050006,1,0.056,ppm,54,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/19/2023,AQS,80050006,1,0.047,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/20/2023,AQS,80050006,1,0.062,ppm,74,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/21/2023,AQS,80050006,1,0.064,ppm,80,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/22/2023,AQS,80050006,1,0.073,ppm,108,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/23/2023,AQS,80050006,1,0.081,ppm,136,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/24/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/25/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/26/2023,AQS,80050006,1,0.05,ppm,46,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/27/2023,AQS,80050006,1,0.054,ppm,50,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/28/2023,AQS,80050006,1,0.059,ppm,64,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/29/2023,AQS,80050006,1,0.057,ppm,58,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/30/2023,AQS,80050006,1,0.057,ppm,58,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
5/31/2023,AQS,80050006,1,0.057,ppm,58,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
6/1/2023,AQS,80050006,1,0.058,ppm,61,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
6/2/2023,AQS,80050006,1,0.059,ppm,64,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
